Country Name,Country Code,Arable_1977,Arable_1997,Arable_2017
Aruba,ABW,0.033131233,0.0234055,0.018982356
Africa Eastern and Southern,AFE,0.353057804,0.21504967,0.189571409
Afghanistan,AFG,0.600548435,0.397011416,0.212116389
Africa Western and Central,AFW,0.426088468,0.349388467,0.239587552
Angola,AGO,0.384931192,0.201727161,0.164337055
Albania,ALB,0.230749706,0.183592252,0.211209007
Andorra,AND,0.030516647,0.015547747,0.010649766
Arab World,ARB,0.273303195,0.170703888,0.14290294
United Arab Emirates,ARE,0.016318826,0.016845346,0.004690527
Argentina,ARG,0.97519271,0.766179556,0.890002684
Armenia,ARM,,0.145224461,0.151453975
American Samoa,ASM,0.032431731,0.036214171,0.053940342
Antigua and Barbuda,ATG,0.048260995,0.05578256,0.041917736
Australia,AUS,1.045870913,1.128908571,1.24998679
Austria,AUT,0.202023405,0.176454915,0.15105769
Azerbaijan,AZE,,0.229796192,0.212552566
Burundi,BDI,0.244393098,0.155174751,0.110833924
Belgium,BEL,0.099386004,0.085451239,0.073493485
Benin,BEN,0.416491308,0.334307388,0.250554979
Burkina Faso,BFA,0.406317741,0.354412036,0.31261013
Bangladesh,BGD,0.124292859,0.069823237,0.048578824
Bulgaria,BGR,0.447173804,0.517079504,0.493090183
Bahrain,BHR,0.006596981,0.003361757,0.001070895
"Bahamas, The",BHS,0.035514967,0.020879515,0.020956178
Bosnia and Herzegovina,BIH,,0.240894844,0.316273086
Belarus,BLR,,0.610358802,0.602952287
Belize,BLZ,0.313891525,0.28884125,0.239505023
Bermuda,BMU,0.005617978,0.006611898,0.00469682
Bolivia,BOL,0.352890344,0.361828914,0.378902501
Brazil,BRA,0.349663001,0.261451166,0.268300889
Barbados,BRB,0.064274839,0.059660754,0.024455943
Brunei Darussalam,BRN,0.022894166,0.006411037,0.01177909
Bhutan,BTN,0.323080899,0.277318098,0.126749852
Botswana,BWA,0.50091689,0.194751575,0.117728369
Central African Republic,CAF,0.90199881,0.568913393,0.391642949
Canada,CAN,1.662996758,1.372201945,1.053733456
Central Europe and the Baltics,CEB,,0.395450594,0.352148652
Switzerland,CHE,0.058890265,0.058612711,0.047112108
Channel Islands,CHI,0.031450002,0.024073679,0.022648311
Chile,CHL,0.37490466,0.134043661,0.069408219
China,CHN,0.103256294,0.097298335,0.086188352
Cote d'Ivoire,CIV,0.267558643,0.191663636,0.143222653
Cameroon,CMR,0.718345356,0.41549188,0.252380621
"Congo, Dem. Rep.",COD,0.272587133,0.152873133,0.144965344
"Congo, Rep.",COG,0.32408186,0.17089349,0.107617331
Colombia,COL,0.145681162,0.067304985,0.123063161
Comoros,COM,0.235590044,0.12949368,0.081092039
Cabo Verde,CPV,0.139023543,0.108844076,0.093023429
Costa Rica,CRI,0.12830871,0.056467521,0.050808543
Caribbean small states,CSS,0.144438668,0.129529418,0.103213198
Cuba,CUB,0.314218887,0.3301264,0.256507151
Curacao,CUW,,,
Cayman Islands,CYM,0.014442519,0.005531738,0.00315547
Cyprus,CYP,0.168289205,0.110077537,0.079962024
Czech Republic,CZE,,0.315407481,0.235595319
Germany,DEU,0.154439979,0.144231523,0.142419876
Djibouti,DJI,0.003603967,0.001513184,0.00211842
Dominica,DMA,0.095312011,0.042497733,0.083963056
Denmark,DNK,0.518235625,0.447493666,0.411164479
Dominican Republic,DOM,0.183079192,0.106377623,0.083419646
Algeria,DZA,0.392654249,0.257203549,0.180501478
East Asia & Pacific (excluding high income),EAP,0.122651943,0.10477873,0.095241259
Early-demographic dividend,EAR,0.269922788,0.178402113,0.135977019
East Asia & Pacific,EAS,0.123895097,0.107602483,0.101311238
Europe & Central Asia (excluding high income),ECA,,0.662752173,0.578908114
Europe & Central Asia,ECS,,0.423519062,0.365974686
Ecuador,ECU,0.223464807,0.134627937,0.061541739
"Egypt, Arab Rep.",EGY,0.06196443,0.042823591,0.030183437
Euro area,EMU,0.234554346,0.220906237,0.187515411
Eritrea,ERI,,0.178116538,0.20217446
Spain,ESP,0.428082684,0.356613358,0.262994547
Estonia,EST,,0.634496458,0.5192108
Ethiopia,ETH,0.388060484,0.16310407,0.150086571
European Union,EUU,0.283367154,0.262661941,0.222985145
Fragile and conflict affected situations,FCS,0.375486792,0.26115929,0.207238784
Finland,FIN,0.51037139,0.413554132,0.407028485
Fiji,FJI,0.142069434,0.22706172,0.18804276
France,FRA,0.316976798,0.304680204,0.275925184
Faroe Islands,FRO,0.071203095,0.065517919,0.062078384
"Micronesia, Fed. Sts.",FSM,,0.02304721,0.017943496
Gabon,GAB,0.4036885,0.284755006,0.157399318
United Kingdom,GBR,0.123163729,0.109196375,0.09208272
Georgia,GEO,,0.180463379,0.086909778
Ghana,GHA,0.173152627,0.201016507,0.161392985
Gibraltar,GIB,,,
Guinea,GIN,0.68310246,0.326282542,0.256887996
"Gambia, The",GMB,0.294752538,0.170759053,0.198744297
Guinea-Bissau,GNB,0.330425588,0.238409543,0.164100679
Equatorial Guinea,GNQ,0.53683515,0.242329796,0.09508656
Greece,GRC,0.30810619,0.261601374,0.198797193
Grenada,GRD,0.044336559,0.009845718,0.027057741
Greenland,GRL,,0.0125,
Guatemala,GTM,0.194926697,0.126988694,0.053582247
Guam,GUM,0.020517661,0.013306454,0.006087131
Guyana,GUY,0.553497791,0.633266269,0.541783086
High income,HIC,0.408909328,0.343499397,0.280092471
"Hong Kong SAR, China",HKG,0.001745315,0.000770499,0.000419389
Honduras,HND,0.44827869,0.251418197,0.108176717
Heavily indebted poor countries (HIPC),HPC,0.412679116,0.277414681,0.22558514
Croatia,HRV,,0.216762368,0.198083128
Haiti,HTI,0.145430507,0.112069639,0.097428906
Hungary,HUN,0.476238283,0.468393815,0.441664795
IBRD only,IBD,0.211714456,0.20134617,0.166459334
IDA & IBRD total,IBT,0.234371972,0.206990673,0.169279815
IDA total,IDA,0.338565407,0.229324625,0.177710205
IDA blend,IDB,0.367903307,0.251308051,0.161154631
Indonesia,IDN,0.131120737,0.091210986,0.099376171
IDA only,IDX,0.324697329,0.217740344,0.186193854
Isle of Man,IMN,0.348903562,0.25321255,0.275086712
India,IND,0.248401016,0.161455685,0.116843739
Not classified,INX,,,
Ireland,IRL,0.360428981,0.281696198,0.09589407
"Iran, Islamic Rep.",IRN,0.430106093,0.261370997,0.18205395
Iraq,IRQ,0.409242165,0.20522791,0.133145903
Iceland,ISL,0.581607672,0.490543212,0.352358765
Israel,ISR,0.089952948,0.057573681,0.04441486
Italy,ITA,0.167258176,0.145068484,0.111275788
Jamaica,JAM,0.069683933,0.058051468,0.041083959
Jordan,JOR,0.134901928,0.038568343,0.019109244
Japan,JPN,0.043127371,0.036245508,0.032819134
Kazakhstan,KAZ,,2.122795113,1.64416611
Kenya,KEN,0.259582576,0.163654326,0.115489201
Kyrgyz Republic,KGZ,,0.289157653,0.207769998
Cambodia,KHM,0.264034034,0.327474374,0.244293779
Kiribati,KIR,0.035236703,0.024941388,0.017520346
St. Kitts and Nevis,KNA,0.182049882,0.140000467,0.096087324
"Korea, Rep.",KOR,0.056767319,0.037472597,0.027193303
Kuwait,KWT,0.000866872,0.003508245,0.002120262
Latin America & Caribbean (excluding high income),LAC,0.345554057,0.265007339,0.257648214
Lao PDR,LAO,0.245548321,0.169098598,0.230115471
Lebanon,LBN,0.087633863,0.050568209,0.019356618
Liberia,LBR,0.219247055,0.159057007,0.106332663
Libya,LBY,0.608939228,0.396247915,0.261369457
St. Lucia,LCA,0.044371478,0.012589451,0.016578707
Latin America & Caribbean,LCN,0.338188488,0.252156666,0.243871027
Least developed countries: UN classification,LDC,0.322562529,0.214234904,0.186841367
Low income,LIC,0.397401019,0.259288728,0.219148757
Liechtenstein,LIE,0.163592491,0.125667609,0.0571353
Sri Lanka,LKA,0.066556929,0.048075629,0.061565007
Lower middle income,LMC,0.245102888,0.177498234,0.133805367
Low & middle income,LMY,0.231221265,0.206008215,0.168876261
Lesotho,LSO,0.234427082,0.165137745,0.197941031
Late-demographic dividend,LTE,0.15819146,0.204073109,0.180148917
Lithuania,LTU,,0.805004116,0.743776612
Luxembourg,LUX,,,0.104031955
Latvia,LVA,,0.44351257,0.664178828
"Macao SAR, China",MAC,,,
St. Martin (French part),MAF,,,
Morocco,MAR,0.400105542,0.323550285,0.210155588
Monaco,MCO,,,
Moldova,MDA,,0.60874992,0.630816817
Madagascar,MDG,0.305445367,0.202120734,0.117322646
Maldives,MDV,0.020743302,0.0113707,0.007856599
Middle East & North Africa,MEA,0.30458947,0.188386981,0.118864229
Mexico,MEX,0.282838015,0.240828213,0.191581281
Marshall Islands,MHL,,0.019820427,0.034451277
Middle income,MIC,0.219963228,0.20208929,0.163509599
North Macedonia,MKD,,0.300061813,0.200288569
Mali,MLI,0.30019664,0.449260642,0.346307878
Malta,MLT,0.042349415,0.023511525,0.019380383
Myanmar,MMR,0.298188252,0.212293794,0.207213893
Middle East & North Africa (excluding high income),MNA,0.32157657,0.196745187,0.128862509
Montenegro,MNE,,,0.014782132
Mongolia,MNG,0.704132039,0.525314418,0.424791283
Northern Mariana Islands,MNP,,0.019979222,0.017682528
Mozambique,MOZ,0.267261807,0.237845848,0.197214514
Mauritania,MRT,0.138894893,0.200528689,0.093401597
Mauritius,MUS,0.108532971,0.078377823,0.059306681
Malawi,MWI,0.349775462,0.238677295,0.203732919
Malaysia,MYS,0.083480365,0.041214518,0.026555511
North America,NAC,0.926194276,0.722447,0.542518997
Namibia,NAM,0.65864012,0.480557164,0.332969425
New Caledonia,NCL,0.051470588,0.034753597,0.022111111
Niger,NER,1.779952425,1.374015592,0.81935386
Nigeria,NGA,0.306697006,0.29262017,0.178128682
Nicaragua,NIC,0.355051784,0.362494609,0.235557867
Netherlands,NLD,0.055931701,0.057717007,0.06053249
Norway,NOR,0.197368177,0.203624979,0.151884567
Nepal,NPL,0.1586053,0.103777891,0.076492756
Nauru,NRU,,,
New Zealand,NZL,0.876866868,0.411234232,0.102002659
OECD members,OED,0.416096234,0.344669007,0.280606969
Oman,OMN,0.023522096,0.01289027,0.014852357
Other small states,OSS,0.279778597,0.217921069,0.140115475
Pakistan,PAK,0.431803707,0.23684273,0.150115766
Panama,PAN,0.236151407,0.178702389,0.137577908
Peru,PER,0.190856093,0.157074561,0.110926308
Philippines,PHL,0.116893614,0.070997365,0.053150563
Palau,PLW,,0.016651865,0.016845415
Papua New Guinea,PNG,0.043601535,0.036169134,0.035553289
Poland,POL,0.424889122,0.362383524,0.287216589
Pre-demographic dividend,PRE,0.39973273,0.287955369,0.216317127
Puerto Rico,PRI,0.031081138,0.009841918,0.015216736
"Korea, Dem. People's Rep.",PRK,0.130979138,0.102976177,0.092411207
Portugal,PRT,0.257834581,0.186171163,0.091648729
Paraguay,PRY,0.432604038,0.520198091,0.677582744
West Bank and Gaza,PSE,,0.038795234,
Pacific island small states,PSS,,0.133335682,0.110016369
Post-demographic dividend,PST,0.422940835,0.381195198,0.32476624
French Polynesia,PYF,0.014296641,0.013224365,0.009054428
Qatar,QAT,0.010969784,0.02428454,0.005138129
Romania,ROU,0.449575144,0.414383662,0.436118449
Russian Federation,RUS,,0.861749579,0.841880591
Rwanda,RWA,0.153585546,0.124612572,0.096127522
South Asia,SAS,0.253973469,0.161498752,0.115241547
Saudi Arabia,SAU,0.211996182,0.187508328,0.103833147
Sudan,SDN,,,0.485702269
Senegal,SEN,0.602913632,0.321765403,0.207531392
Singapore,SGP,0.000860104,0.000263433,9.98E-05
Solomon Islands,SLB,0.052913871,0.031579114,0.031445058
Sierra Leone,SLE,0.137202204,0.111641768,0.211526399
El Salvador,SLV,0.109486082,0.098324344,0.099716286
San Marino,SMR,0.049026818,0.03764635,0.058952808
Somalia,SOM,0.20178529,0.131424391,0.075398421
Serbia,SRB,,,0.369612945
Sub-Saharan Africa (excluding high income),SSA,0.384619117,0.271790814,0.20998543
South Sudan,SSD,,,
Sub-Saharan Africa,SSF,0.384550764,0.271756556,0.209966209
