ISO3,Name,health_risk_1997,health_risk_2007,health_risk_2017
AFG,Afghanistan,0.763402377,0.772297112,0.822098882
ALB,Albania,0.379102605,0.422202063,0.400989865
DZA,Algeria,0.55085792,0.514693126,0.500546154
AND,Andorra,0.426553464,0.301785637,0.213196425
AGO,Angola,0.631450302,0.625625867,0.586371787
ATG,Antigua and Barbuda,0.454287569,0.385459865,0.33261768
ARG,Argentina,0.401639776,0.388869417,0.313979414
ARM,Armenia,0.472529506,0.366778456,0.25112656
AUS,Australia,0.304048564,0.166721799,0.151593496
AUT,Austria,0.16002466,0.1321096,0.120317004
AZE,Azerbaijan,0.198436702,0.195834472,0.226735628
BHS,Bahamas,0.420734718,0.354810561,0.383341126
BHR,Bahrain,0.365655714,0.365197608,0.324346786
BGD,Bangladesh,0.749494533,0.724406043,0.668730875
BRB,Barbados,0.369874959,0.369469935,0.392611165
BLR,Belarus,0.223171186,0.219334614,0.222673336
BEL,Belgium,0.253977676,0.134923672,0.119708692
BLZ,Belize,0.447789099,0.440198998,0.214390398
BEN,Benin,0.657145444,0.701680156,0.639598454
BTN,Bhutan,0.745128532,0.84579167,0.732872259
BOL,"Bolivia, Plurinational State of",0.600182388,0.580581657,0.545598113
BIH,Bosnia and Herzegovina,0.463677793,0.346540137,0.35829445
BWA,Botswana,0.598241927,0.573742518,0.489844127
BRA,Brazil,0.461282694,0.379918391,0.275279757
BRN,Brunei Darussalam,0.375110563,0.284154874,0.251256458
BGR,Bulgaria,0.28171344,0.30991051,0.267291014
BFA,Burkina Faso,0.709717459,0.732658077,0.65252449
BDI,Burundi,0.609062878,0.791179615,0.755366706
KHM,Cambodia,0.507586752,0.681862382,0.586602532
CMR,Cameroon,0.553881634,0.56563061,0.565098049
CAN,Canada,0.291676958,0.172782775,0.145153041
CPV,Cape Verde,0.515004583,0.51541595,0.544414524
CAF,Central African Republic,0.711357396,0.792902186,0.830850373
TCD,Chad,0.683933062,0.695749662,0.798753768
CHL,Chile,0.399555132,0.38607899,0.198957625
CHN,China,0.451765016,0.417250163,0.316345928
COL,Colombia,0.490368969,0.473720218,0.471046974
COM,Comoros,0.561891521,0.566395104,0.621793493
COG,Congo,0.586701222,0.628168252,0.543669946
COD,"Congo, the Democratic Republic o",0.827088617,0.792324064,0.81814991
CRI,Costa Rica,0.408177281,0.350656946,0.296709614
CIV,Cote d'Ivoire,0.599481979,0.577639727,0.618874104
HRV,Croatia,0.300369325,0.285776437,0.234941508
CUB,Cuba,0.326987892,0.236791411,0.222272481
CYP,Cyprus,0.303245303,0.300384151,0.269372044
CZE,Czech Republic,0.155999231,0.137411867,0.124254194
