ISO3,Name,ready_1997,ready_2007,ready_2017
AFG,Afghanistan,0.320566479,0.230199388,0.248691092
ALB,Albania,0.330587851,0.338188345,0.420362498
DZA,Algeria,0.298160825,0.297708619,0.32846614
AND,Andorra,0.167258464,0.319547793,0.39475605
AGO,Angola,0.181241911,0.191211412,0.242842966
ATG,Antigua and Barbuda,0.467019354,0.464540931,0.437859529
ARG,Argentina,0.379189804,0.357788413,0.380312025
ARM,Armenia,0.367232279,0.424347967,0.491593845
AUS,Australia,0.591375748,0.690047804,0.702448039
AUT,Austria,0.611848249,0.691944763,0.700085537
AZE,Azerbaijan,0.317012665,0.341786976,0.431284158
BHS,Bahamas,0.460311351,0.570266435,0.434817258
BHR,Bahrain,0.393196737,0.514399205,0.469967718
BGD,Bangladesh,0.363519705,0.443707227,0.270958018
BRB,Barbados,0.480076777,0.619448118,0.530811573
BLR,Belarus,0.374445741,0.370886339,0.51612647
BEL,Belgium,0.54408614,0.576973136,0.602281953
BLZ,Belize,0.394872025,0.338281193,0.331080749
BEN,Benin,0.351747355,0.307628077,0.323436747
BTN,Bhutan,0.369769716,0.397413503,0.480145699
BOL,"Bolivia, Plurinational State of",0.31689542,0.273799858,0.288654315
BIH,Bosnia and Herzegovina,0.33415787,0.324273187,0.374376986
BWA,Botswana,0.375369889,0.388077559,0.432417208
BRA,Brazil,0.387609193,0.50021298,0.347184582
BRN,Brunei Darussalam,0.457315297,0.444889646,0.500837908
BGR,Bulgaria,0.420761702,0.441428659,0.467991061
BFA,Burkina Faso,0.302993281,0.267462879,0.304029992
BDI,Burundi,0.236272145,0.231519599,0.270728173
KHM,Cambodia,0.277905097,0.271880589,0.290668525
CMR,Cameroon,0.269620689,0.251794986,0.263302437
CAN,Canada,0.596159411,0.678504825,0.666556511
CPV,Cape Verde,0.42436245,0.39018135,0.440718605
CAF,Central African Republic,0.253282379,0.158102951,0.142957752
TCD,Chad,0.245630476,0.174337373,0.188843695
CHL,Chile,0.43647481,0.5103666,0.54606618
CHN,China,0.377468067,0.512937602,0.463377521
COL,Colombia,0.289734883,0.302154898,0.381330072
COM,Comoros,0.328582064,0.264752888,0.303338242
COG,Congo,0.25510754,0.223920518,0.231728506
COD,"Congo, the Democratic Republic o",0.252558631,0.176780862,0.234600332
CRI,Costa Rica,0.399878418,0.377968242,0.453847491
CIV,Cote d'Ivoire,0.304497696,0.198973169,0.285744008
HRV,Croatia,0.399246669,0.461528819,0.492792651
CUB,Cuba,0.261553174,0.38191378,0.344305289
CYP,Cyprus,0.458997288,0.58761008,0.52533934
CZE,Czech Republic,0.457286606,0.496302733,0.565435619
DNK,Denmark,0.655746839,0.764110161,0.775589786
DJI,Djibouti,0.331836313,0.2978177,0.320278123
DMA,Dominica,0.586530253,0.539292903,0.536843921
DOM,Dominican Republic,0.308462173,0.322809808,0.354815826
ECU,Ecuador,0.298288843,0.288580561,0.333439841
EGY,Egypt,0.34912772,0.297906741,0.333773626
SLV,El Salvador,0.297748412,0.341177871,0.337311275
GNQ,Equatorial Guinea,0.294099893,0.24703503,0.237574877
ERI,Eritrea,0.341836196,0.213725911,0.216952103
EST,Estonia,0.463336467,0.595996747,0.621578254
ETH,Ethiopia,0.294300616,0.287267802,0.299500667
FJI,Fiji,0.389548774,0.40816937,0.432016526
FIN,Finland,0.677912924,0.755886166,0.754759863
FRA,France,0.584070422,0.637425456,0.657428222
GAB,Gabon,0.390477802,0.30937242,0.294171255
GMB,Gambia,0.387967747,0.323422888,0.311998851
GEO,Georgia,0.320714007,0.430251079,0.558425958
DEU,Germany,0.620695377,0.691553618,0.700105478
GHA,Ghana,0.328957314,0.334421991,0.354492353
GRC,Greece,0.436320793,0.496218826,0.509324103
GRD,Grenada,0.498511718,0.448240272,0.534594046
GTM,Guatemala,0.274619369,0.271632166,0.318784091
GIN,Guinea,0.297737394,0.222219028,0.307285064
GNB,Guinea-Bissau,0.323964478,0.266369414,0.268101316
GUY,Guyana,0.382823949,0.304965513,0.317914107
HTI,Haiti,0.243576511,0.214431119,0.238124383
HND,Honduras,0.276197181,0.27695997,0.275468785
HUN,Hungary,0.486595649,0.531724183,0.502873973
ISL,Iceland,0.583404529,0.738817092,0.717895662
IND,India,0.383324756,0.482423602,0.341609443
IDN,Indonesia,0.363353968,0.468607319,0.373398967
IRN,"Iran, Islamic Republic of",0.314618169,0.354904653,0.441071506
IRQ,Iraq,0.307400791,0.251768127,0.308591531
IRL,Ireland,0.522021868,0.61452106,0.613503613
ISR,Israel,0.520781331,0.543129336,0.533692382
ITA,Italy,0.473151936,0.517927342,0.506028939
JAM,Jamaica,0.367102778,0.342494739,0.393901688
JPN,Japan,0.615343237,0.752456393,0.723876421
JOR,Jordan,0.364297481,0.401112584,0.410019787
KAZ,Kazakhstan,0.366030015,0.410102422,0.511189056
KEN,Kenya,0.287021507,0.26183221,0.290928889
KIR,Kiribati,0.441674357,0.488588094,0.44434652
PRK,"Korea, Democratic People's Repub",0.367557509,0.377981081,0.344203996
KOR,"Korea, Republic of",0.555043188,0.676504185,0.723444482
KWT,Kuwait,0.378296154,0.404863146,0.406165829
KGZ,Kyrgyzstan,0.36673081,0.314457924,0.39336506
LAO,Lao People's Democratic Republic,0.301597125,0.279027579,0.319892184
LVA,Latvia,0.454681736,0.53595588,0.583764697
LBN,Lebanon,0.303066912,0.271505272,0.313821348
LSO,Lesotho,0.313356694,0.270966979,0.322163868
LBR,Liberia,0.298984284,0.257042204,0.293102117
