ISO3,Name,1999,2009,2019
AFG,Afghanistan,0.1421714,0.129345178,0.173164329
ALB,Albania,0.370561681,0.45990258,0.473626212
DZA,Algeria,0.28911711,0.33002353,0.323598019
AND,Andorra,,,
AGO,Angola,0.161197989,0.299895025,0.336803653
ATG,Antigua and Barbuda,0.680159995,0.692203286,0.606170688
ARG,Argentina,0.512449831,0.395997705,0.451329235
ARM,Armenia,0.405270126,0.4710105,0.478971023
AUS,Australia,0.828101895,0.833419682,0.831873408
AUT,Austria,0.813622347,0.81219396,0.799249428
AZE,Azerbaijan,0.295860415,0.367660971,0.387332131
BHS,Bahamas,0.75204896,0.698876619,0.610436682
BHR,Bahrain,0.577345121,0.569373323,0.524334538
BGD,Bangladesh,0.345750171,0.297488721,0.332948769
BRB,Barbados,0.774266367,0.708038695,0.655787292
BLR,Belarus,0.352740059,0.385745281,0.449290895
BEL,Belgium,0.751919039,0.755936495,0.744578173
BLZ,Belize,0.520499261,0.464794436,0.432956031
BEN,Benin,0.499298279,0.438843573,0.421319498
BTN,Bhutan,0.574221663,0.550637982,0.658138612
BOL,"Bolivia, Plurinational State of",0.462496332,0.350730323,0.333486585
BIH,Bosnia and Herzegovina,0.390629254,0.433205872,0.432421331
BWA,Botswana,0.661262535,0.657674576,0.631953771
BRA,Brazil,0.513470886,0.505938511,0.445481392
BRN,Brunei Darussalam,0.652525063,0.713409981,0.662772585
BGR,Bulgaria,0.515012752,0.539275795,0.547517412
BFA,Burkina Faso,0.454296856,0.472318872,0.404524552
BDI,Burundi,0.23851065,0.273912508,0.23498625
KHM,Cambodia,0.336689407,0.335822966,0.354128842
CMR,Cameroon,0.322700803,0.335761454,0.274589499
CAN,Canada,0.831834847,0.842914607,0.820527235
CPV,Cape Verde,0.626119843,0.618616835,0.607610059
CAF,Central African Republic,0.293101793,0.242862357,0.190112166
TCD,Chad,0.28957166,0.225315437,0.249466468
CHL,Chile,0.730998675,0.745036246,0.688789549
CHN,China,0.439107054,0.42599456,0.451402574
COL,Colombia,0.372277645,0.397304172,0.452626141
COM,Comoros,0.333941119,0.294622764,0.333176554
COG,Congo,0.252642008,0.304201605,0.267116549
COD,"Congo, the Democratic Republic o",,,
CRI,Costa Rica,0.660584382,0.621956372,0.617545972
CIV,Cote d'Ivoire,0.373277461,0.27800509,0.394608028
HRV,Croatia,0.484400517,0.564363996,0.591891289
CUB,Cuba,0.419456653,0.424331673,0.446402421
CYP,Cyprus,0.691358705,0.700095725,0.648798491
CZE,Czech Republic,0.634015441,0.677457596,0.68722245
DNK,Denmark,0.879148258,0.874274546,0.838540074
